id,date,league.season,teams.home.id,teams.home.name,teams.away.id,teams.away.name,scores.home.quarter_1,scores.home.quarter_2,scores.home.quarter_3,scores.home.quarter_4,scores.home.over_time,scores.home.total,scores.away.quarter_1,scores.away.quarter_2,scores.away.quarter_3,scores.away.quarter_4,scores.away.over_time,scores.away.total,home_spread,CUMULATIVE_AVERAGES,home_avg_points_scored_so_far,home_avg_points_allowed_so_far,away_avg_points_scored_so_far,away_avg_points_allowed_so_far,L10_AVERAGES,home_avg_points_scored_L10,home_avg_points_allowed_L10,away_avg_points_scored_L10,away_avg_points_allowed_L10
372332,2023-11-06 00:30:00+00:00,2023-2024,138,Dallas Mavericks,135,Charlotte Hornets,26,24,33,41,0.0,124,31,31,22,34,0.0,118,6,AVERAGES:,114.125,112.25,110.77777777777777,117.66666666666667,L10AVERAGES:,114.125,112.25,110.77777777777777,117.66666666666667
372333,2023-11-06 02:00:00+00:00,2023-2024,156,Portland Trail Blazers,146,Memphis Grizzlies,32,23,31,14,0.0,100,30,33,19,30,0.0,112,-12,AVERAGES:,108.88888888888889,114.77777777777777,111.18181818181819,117.0909090909091,L10AVERAGES:,108.88888888888889,114.77777777777777,109.6,116.6
372336,2023-11-07 00:00:00+00:00,2023-2024,153,Orlando Magic,138,Dallas Mavericks,33,33,17,19,0.0,102,27,26,33,31,0.0,117,-15,AVERAGES:,108.88888888888889,103.88888888888889,115.22222222222223,112.88888888888889,L10AVERAGES:,108.88888888888889,103.88888888888889,115.22222222222223,112.88888888888889
372334,2023-11-07 00:00:00+00:00,2023-2024,140,Detroit Pistons,141,Golden State Warriors,26,22,34,27,0.0,109,31,25,27,37,0.0,120,-11,AVERAGES:,112.9090909090909,115.27272727272727,118.08333333333333,113.25,L10AVERAGES:,111.6,113.8,116.3,112.6
372335,2023-11-07 00:00:00+00:00,2023-2024,143,Indiana Pacers,158,San Antonio Spurs,44,42,33,33,0.0,152,28,33,26,24,0.0,111,41,AVERAGES:,117.2,120.6,114.54545454545455,115.81818181818181,L10AVERAGES:,117.2,120.6,113.9,115.2
372337,2023-11-07 00:00:00+00:00,2023-2024,154,Philadelphia 76ers,161,Washington Wizards,33,42,45,26,0.0,146,24,34,40,30,0.0,128,18,AVERAGES:,115.22222222222223,108.11111111111111,112.75,119.75,L10AVERAGES:,115.22222222222223,108.11111111111111,112.75,119.75
372338,2023-11-07 00:30:00+00:00,2023-2024,151,New York Knicks,144,Los Angeles Clippers,19,23,34,35,0.0,111,21,25,30,21,0.0,97,14,AVERAGES:,106.2,110.2,112.44444444444444,105.66666666666667,L10AVERAGES:,106.2,110.2,112.44444444444444,105.66666666666667
372339,2023-11-07 00:30:00+00:00,2023-2024,147,Miami Heat,145,Los Angeles Lakers,33,29,28,18,0.0,108,33,26,20,28,0.0,107,1,AVERAGES:,109.18181818181819,112.9090909090909,111.58333333333333,117.16666666666667,L10AVERAGES:,108.8,113.3,110.2,115.5
372340,2023-11-07 00:30:00+00:00,2023-2024,134,Brooklyn Nets,148,Milwaukee Bucks,32,35,27,31,0.0,125,29,34,33,33,0.0,129,-4,AVERAGES:,116.66666666666667,117.33333333333333,111.1,114.0,L10AVERAGES:,116.66666666666667,117.33333333333333,111.1,114.0
372343,2023-11-07 01:00:00+00:00,2023-2024,149,Minnesota Timberwolves,133,Boston Celtics,29,23,27,22,13.0,114,26,29,19,27,8.0,109,5,AVERAGES:,110.66666666666667,101.11111111111111,121.5,107.0,L10AVERAGES:,110.66666666666667,101.11111111111111,121.5,107.0
372344,2023-11-07 01:00:00+00:00,2023-2024,152,Oklahoma City Thunder,132,Atlanta Hawks,29,29,38,30,0.0,126,28,22,27,40,0.0,117,9,AVERAGES:,118.0,116.81818181818181,116.0,112.81818181818181,L10AVERAGES:,117.6,116.4,116.8,113.4
372341,2023-11-07 01:00:00+00:00,2023-2024,136,Chicago Bulls,160,Utah Jazz,37,29,32,32,0.0,130,32,20,26,35,0.0,113,17,AVERAGES:,106.58333333333333,113.41666666666667,111.9090909090909,116.27272727272727,L10AVERAGES:,104.4,113.2,113.0,118.3
372342,2023-11-07 01:00:00+00:00,2023-2024,142,Houston Rockets,157,Sacramento Kings,32,35,30,25,0.0,122,22,20,18,37,0.0,97,25,AVERAGES:,109.2,105.6,111.2,114.3,L10AVERAGES:,109.2,105.6,111.2,114.3
372345,2023-11-07 02:00:00+00:00,2023-2024,139,Denver Nuggets,150,New Orleans Pelicans,25,34,40,35,0.0,134,27,44,21,24,0.0,116,18,AVERAGES:,113.58333333333333,106.75,105.0,111.0,L10AVERAGES:,112.4,104.1,105.0,111.0
