,id,date,league.season,teams.home.id,teams.home.name,teams.away.id,teams.away.name,scores.home.quarter_1,scores.home.quarter_2,scores.home.quarter_3,scores.home.quarter_4,scores.home.over_time,scores.home.total,scores.away.quarter_1,scores.away.quarter_2,scores.away.quarter_3,scores.away.quarter_4,scores.away.over_time,scores.away.total,home_spread,winner,total,WIN_PERCENTAGES,home_win_percentage,away_win_percentage,home_streak,away_streak,CUMULATIVE_AVERAGES,home_avg_points_scored_combined,home_avg_points_allowed_combined,away_avg_points_scored_combined,away_avg_points_allowed_combined,AT_HOME_AVGS,home_avg_points_scored_at_home,home_avg_points_allowed_at_home,ON_ROAD_AVGS,away_avg_points_scored_on_road,away_avg_points_allowed_on_road,L10_AVERAGES,home_avg_points_scored_L10,home_avg_points_allowed_L10,away_avg_points_scored_L10,away_avg_points_allowed_L10,L5_AVERAGES,home_avg_points_scored_L5_at_home,home_avg_points_allowed_L5_at_home,away_avg_points_scored_L5_on_road,away_avg_points_allowed_L5_on_road,DAYS_SINCE,home_days_since_last_game,away_days_since_last_game,H2H,home_h2h_spread,home_h2h_record,away_h2h_record
456,372924,2024-02-09 00:30:00+00:00,2023-2024,151,New York Knicks,138,Dallas Mavericks,22,26,23,37,0.0,108,28,31,28,35,0.0,122,-14,0,230,WIN_PERCENTAGES:,0.7,0.5,1,2,CUM_AVERAGES:,115.1,108.6,118.2,118.3,AT_HOME_AVGS:,114.6,105.2,ON_ROAD_AVGS:,116.4,118.6,L10AVERAGES:,116.2,103.1,116.4,122.9,L5AVERAGES:,116.0,108.6,116.4,120.0,DAYS_SINCE:,2,2,H2H:,-4,0,1
477,372945,2024-02-11 00:30:00+00:00,2023-2024,151,New York Knicks,143,Indiana Pacers,27,31,24,29,0.0,111,26,35,30,34,0.0,125,-14,0,236,WIN_PERCENTAGES:,0.6,0.5,-1,-1,CUM_AVERAGES:,114.9,108.9,124.0,122.9,AT_HOME_AVGS:,114.3,105.8,ON_ROAD_AVGS:,121.3,124.2,L10AVERAGES:,115.7,104.4,119.9,120.7,L5AVERAGES:,112.6,111.2,113.8,114.4,DAYS_SINCE:,2,2,H2H:,-10,1,1
486,372954,2024-02-13 01:00:00+00:00,2023-2024,142,Houston Rockets,151,New York Knicks,29,28,17,31,0.0,105,22,21,28,32,0.0,103,2,1,208,WIN_PERCENTAGES:,0.4,0.6,-4,-2,CUM_AVERAGES:,113.5,112.8,114.8,109.2,AT_HOME_AVGS:,115.6,109.1,ON_ROAD_AVGS:,115.5,112.1,L10AVERAGES:,117.8,115.4,114.2,106.9,L5AVERAGES:,121.4,117.6,114.4,104.4,DAYS_SINCE:,2,2,H2H:,-15,0,1
499,372967,2024-02-15 00:00:00+00:00,2023-2024,153,Orlando Magic,151,New York Knicks,27,38,24,29,0.0,118,36,19,22,23,0.0,100,18,1,218,WIN_PERCENTAGES:,0.5,0.6,-1,-3,CUM_AVERAGES:,111.6,111.1,114.6,109.1,AT_HOME_AVGS:,114.5,109.2,ON_ROAD_AVGS:,115.0,111.8,L10AVERAGES:,112.4,110.6,113.7,107.1,L5AVERAGES:,113.2,114.0,110.8,104.4,DAYS_SINCE:,0,1,H2H:,13,2,0
515,372983,2024-02-23 00:00:00+00:00,2023-2024,154,Philadelphia 76ers,151,New York Knicks,21,25,35,15,0.0,96,32,37,22,19,0.0,110,-14,0,206,WIN_PERCENTAGES:,0.6,0.6,-1,-4,CUM_AVERAGES:,118.3,113.9,114.4,109.3,AT_HOME_AVGS:,119.1,113.3,ON_ROAD_AVGS:,114.5,112.0,L10AVERAGES:,113.2,122.4,111.5,110.5,L5AVERAGES:,110.4,123.4,106.0,102.4,DAYS_SINCE:,8,8,H2H:,-36,0,1
537,373005,2024-02-25 01:30:00+00:00,2023-2024,151,New York Knicks,133,Boston Celtics,26,32,26,18,0.0,102,30,32,35,19,0.0,116,-14,0,218,WIN_PERCENTAGES:,0.6,0.8,1,7,CUM_AVERAGES:,114.3,109.0,121.0,110.4,AT_HOME_AVGS:,114.2,106.5,ON_ROAD_AVGS:,119.2,112.0,L10AVERAGES:,110.0,109.2,123.4,110.1,L5AVERAGES:,111.2,115.6,123.8,109.6,DAYS_SINCE:,2,2,H2H:,-30,0,3
551,373017,2024-02-27 00:30:00+00:00,2023-2024,151,New York Knicks,140,Detroit Pistons,29,33,30,21,0.0,113,27,31,26,27,0.0,111,2,1,224,WIN_PERCENTAGES:,0.6,0.1,-1,-5,CUM_AVERAGES:,114.1,109.2,112.8,121.9,AT_HOME_AVGS:,113.8,106.9,ON_ROAD_AVGS:,113.9,124.1,L10AVERAGES:,108.9,111.6,114.7,121.1,L5AVERAGES:,109.8,117.8,112.0,120.8,DAYS_SINCE:,1,1,H2H:,6,1,0
557,373027,2024-02-28 00:30:00+00:00,2023-2024,151,New York Knicks,150,New Orleans Pelicans,19,28,20,25,0.0,92,26,22,26,41,0.0,115,-23,0,207,WIN_PERCENTAGES:,0.6,0.6,1,-2,CUM_AVERAGES:,114.0,109.2,116.4,111.6,AT_HOME_AVGS:,113.8,107.0,ON_ROAD_AVGS:,116.0,111.8,L10AVERAGES:,108.4,112.4,114.1,108.0,L5AVERAGES:,111.4,117.4,108.4,105.8,DAYS_SINCE:,1,2,H2H:,-9,0,1
574,373041,2024-03-01 00:30:00+00:00,2023-2024,151,New York Knicks,141,Golden State Warriors,19,27,24,29,0.0,99,31,24,25,30,0.0,110,-11,0,209,WIN_PERCENTAGES:,0.6,0.5,-1,1,CUM_AVERAGES:,113.7,109.3,119.2,117.4,AT_HOME_AVGS:,113.0,107.3,ON_ROAD_AVGS:,121.3,116.9,L10AVERAGES:,106.7,113.4,121.6,112.4,L5AVERAGES:,105.2,117.8,130.0,113.8,DAYS_SINCE:,2,2,H2H:,0,0,0
599,373066,2024-03-04 00:00:00+00:00,2023-2024,137,Cleveland Cavaliers,151,New York Knicks,19,34,25,20,0.0,98,28,23,36,20,0.0,107,-9,0,205,WIN_PERCENTAGES:,0.7,0.6,1,-2,CUM_AVERAGES:,114.6,109.6,113.4,109.3,AT_HOME_AVGS:,116.0,111.0,ON_ROAD_AVGS:,114.3,111.5,L10AVERAGES:,114.0,109.4,106.1,113.1,L5AVERAGES:,119.0,114.6,106.8,102.8,DAYS_SINCE:,2,2,H2H:,-12,1,1
